message,count,symbols,fixed attribute values
"(11, 17, 17, 0)",1,"{(17, 11)}","{(2, '?', '?')}"
"(11, 21, 5, 0)",1,"{(5, 11, 21)}","{(4, 7, '?')}"
"(11, 21, 16, 0)",3,"{(16, 11, 21)}","{(4, '?', '?')}"
"(11, 21, 21, 0)",3,"{(11, 21)}","{('?', '?', '?')}"
"(11, 21, 29, 0)",3,"{(29, 11, 21)}","{(4, '?', '?')}"
"(11, 21, 31, 0)",6,"{(11, 21, 31)}","{(4, '?', '?')}"
"(11, 21, 32, 0)",5,"{(32, 11, 21)}","{(4, '?', '?')}"
"(11, 21, 39, 0)",9,"{(11, 21, 39)}","{(4, '?', '?')}"
"(11, 25, 5, 0)",1,"{(25, 11, 5)}","{(5, '?', '?')}"
"(11, 25, 17, 0)",1,"{(25, 11, 17)}","{(5, '?', '?')}"
"(11, 29, 5, 0)",4,"{(5, 11, 29)}","{('?', '?', '?')}"
"(11, 29, 29, 0)",7,"{(11, 29)}","{('?', '?', '?')}"
"(11, 31, 5, 0)",6,"{(11, 5, 31)}","{('?', '?', '?')}"
"(11, 31, 31, 0)",3,"{(11, 31)}","{(4, '?', '?')}"
"(11, 32, 14, 0)",9,"{(32, 11, 14)}","{('?', '?', '?')}"
"(11, 32, 16, 0)",2,"{(32, 16, 11)}","{(8, '?', '?')}"
"(11, 32, 32, 0)",4,"{(32, 11)}","{('?', '?', '?')}"
"(11, 32, 33, 0)",3,"{(32, 33, 11)}","{(4, '?', 5)}"
"(11, 32, 37, 0)",1,"{(32, 11, 37)}","{(4, 8, 5)}"
"(11, 33, 1, 0)",3,"{(33, 11, 1)}","{(4, '?', '?')}"
"(11, 33, 5, 0)",2,"{(33, 11, 5)}","{(4, '?', '?')}"
"(11, 33, 11, 0)",4,"{(33, 11)}","{('?', '?', '?')}"
"(11, 33, 29, 0)",1,"{(33, 11, 29)}","{(4, 9, 6)}"
"(11, 33, 31, 0)",7,"{(33, 11, 31)}","{('?', '?', '?')}"
"(11, 33, 37, 0)",6,"{(33, 11, 37)}","{('?', '?', '?')}"
"(11, 37, 17, 0)",1,"{(17, 11, 37)}","{(2, 6, '?')}"
"(11, 37, 21, 0)",18,"{(21, 11, 37)}","{('?', '?', '?')}"
"(11, 37, 32, 0)",4,"{(32, 11, 37)}","{(4, '?', '?')}"
"(11, 37, 37, 0)",11,"{(11, 37)}","{('?', '?', '?')}"
"(11, 39, 16, 0)",1,"{(16, 11, 39)}","{(8, 13, '?')}"
"(11, 39, 31, 0)",11,"{(11, 31, 39)}","{('?', '?', '?')}"
"(11, 39, 32, 0)",5,"{(32, 11, 39)}","{('?', '?', 6)}"
"(11, 39, 39, 0)",13,"{(11, 39)}","{('?', '?', '?')}"
"(11, 46, 1, 0)",1,"{(1, 11, 46)}","{(4, 4, '?')}"
"(11, 46, 16, 0)",2,"{(16, 11, 46)}","{(4, '?', '?')}"
"(11, 50, 4, 0)",8,"{(50, 11, 4)}","{(4, '?', '?')}"
"(11, 50, 16, 0)",1,"{(16, 50, 11)}","{(4, 4, 13)}"
"(11, 50, 20, 0)",11,"{(50, 11, 20)}","{('?', '?', '?')}"
"(11, 50, 23, 0)",1,"{(50, 11, 23)}","{(4, 4, 4)}"
"(11, 50, 44, 0)",3,"{(50, 11, 44)}","{(4, '?', '?')}"
"(11, 50, 46, 0)",1,"{(50, 11, 46)}","{(4, 4, 13)}"
"(11, 50, 50, 0)",12,"{(50, 11)}","{('?', '?', '?')}"
"(12, 1, 19, 0)",1,"{(1, 19, 12)}","{(13, 9, 6)}"
"(12, 5, 19, 0)",1,"{(19, 12, 5)}","{(13, '?', 0)}"
"(12, 9, 10, 0)",1,"{(9, 10, 12)}","{(13, 6, 8)}"
"(12, 9, 19, 0)",2,"{(9, 19, 12)}","{(13, '?', 6)}"
"(12, 10, 9, 0)",4,"{(9, 10, 12)}","{(13, '?', '?')}"
"(12, 10, 12, 0)",3,"{(10, 12)}","{(13, '?', '?')}"
"(12, 12, 5, 0)",1,"{(12, 5)}","{(13, '?', 0)}"
"(12, 12, 9, 0)",4,"{(9, 12)}","{(13, '?', '?')}"
"(12, 12, 12, 0)",2,"{(12,)}","{(13, 7, '?')}"
"(12, 12, 47, 0)",1,"{(12, 47)}","{(13, 9, 6)}"
"(12, 14, 10, 0)",4,"{(10, 12, 14)}","{(13, '?', '?')}"
"(12, 19, 2, 0)",1,"{(2, 19, 12)}","{(13, 12, 2)}"
"(12, 29, 10, 0)",1,"{(10, 12, 29)}","{(13, 6, 0)}"
